id,full_name,root_name,meta_suffix
61,Purple Wool,Purple Wool,
62,Blue Wool,Blue Wool,
63,Brown Wool,Brown Wool,
64,Green Wool,Green Wool,
65,Red Wool,Red Wool,
66,Black Wool,Black Wool,
67,Baked Clay,Baked Clay,
68,White Baked Clay,White Baked Clay,
69,Orange Baked Clay,Orange Baked Clay,
70,Magenta Baked Clay,Magenta Baked Clay,
71,Light Blue Baked Clay,Light Blue Baked Clay,
72,Yellow Baked Clay,Yellow Baked Clay,
73,Lime Baked Clay,Lime Baked Clay,
74,Pink Baked Clay,Pink Baked Clay,
75,Gray Baked Clay,Gray Baked Clay,
76,Light Gray Baked Clay,Light Gray Baked Clay,
77,Cyan Baked Clay,Cyan Baked Clay,
78,Purple Baked Clay,Purple Baked Clay,
79,Blue Baked Clay,Blue Baked Clay,
80,Brown Baked Clay,Brown Baked Clay,
81,Green Baked Clay,Green Baked Clay,
82,Red Baked Clay,Red Baked Clay,
83,Black Baked Clay,Black Baked Clay,
84,Gray Concrete,Gray Concrete,
85,Light Gray Concrete,Light Gray Concrete,
86,Black Concrete,Black Concrete,
87,Blue Concrete,Blue Concrete,
88,Brown Concrete,Brown Concrete,
89,Cyan Concrete,Cyan Concrete,
90,Light Blue Concrete,Light Blue Concrete,
91,Lime Concrete,Lime Concrete,
92,Magenta Concrete,Magenta Concrete,
93,Orange Concrete,Orange Concrete,
94,Pink Concrete,Pink Concrete,
95,Purple Concrete,Purple Concrete,
96,Red Concrete,Red Concrete,
97,White Concrete,White Concrete,
98,Green Concrete,Green Concrete,
99,Yellow Concrete,Yellow Concrete,
100,Pine Leaves,Pine Leaves,
101,Aspen Leaves,Aspen Leaves,
102,Maple Leaves,Maple Leaves,
103,Jungle Leaves,Jungle Leaves,
104,Pumpkin_placeholder,Pumpkin_placeholder,
105,Watermelon,Watermelon,
106,Glass,Glass,
107,Black Glass,Black Glass,
108,Blue Glass,Blue Glass,
109,Brown Glass,Brown Glass,
110,Cyan Glass,Cyan Glass,
111,Gray Glass,Gray Glass,
112,Light Gray Glass,Light Gray Glass,
113,Green Glass,Green Glass,
114,Light Blue Glass,Light Blue Glass,
115,Lime Glass,Lime Glass,
116,Magenta Glass,Magenta Glass,
117,Orange Glass,Orange Glass,
118,Pink Glass,Pink Glass,
119,Purple Glass,Purple Glass,
120,Red Glass,Red Glass,
121,White Glass,White Glass,
122,Yellow Glass,Yellow Glass,
123,UNUSED BLOCK TYPE,UNUSED BLOCK TYPE,
124,Dim Lamp On,Dim Lamp On,
125,Dim Lamp Off,Dim Lamp Off,
126,Water,Water,
127,Invisible Solid,Invisible Solid,
128,Bricks,Bricks,
129,Stone Bricks,Stone Bricks,
130,Dark Red Brick,Dark Red Brick,
131,Dark Red Stone,Dark Red Stone,
132,Block of Quartz,Block of Quartz,
133,Chiseled Block of Quartz,Chiseled Block of Quartz,
134,Engraved Stone,Engraved Stone,
135,Mossy Stone Bricks,Mossy Stone Bricks,
136,Cracked Stone Bricks,Cracked Stone Bricks,
137,Smooth Sandstone,Smooth Sandstone,
138,Engraved Sandstone,Engraved Sandstone,
139,Ice,Ice,
140,Obsidian,Obsidian,
141,Hay Bale,Hay Bale,
142,Sponge,Sponge,
143,Beacon,Beacon,
144,temp,temp,
145,Golden Decoration,Golden Decoration,
146,Moonstone Explosive,Moonstone Explosive,
147,Bedrock,Bedrock,
148,Smooth Double Stone Slab,Smooth Double Stone Slab,
149,Cactus,Cactus,
150,Grass,Grass,
151,Dandelion,Dandelion,
152,Poppy,Poppy,
153,Red Tulip,Red Tulip,
154,Pink Tulip,Pink Tulip,
155,White Tulip,White Tulip,
156,Orange Tulip,Orange Tulip,
157,Daisy,Daisy,
158,Bluebell,Bluebell,
159,Forget-me-not,Forget-me-not,
160,Allium,Allium,
161,Azure Bluet,Azure Bluet,
162,Lily of the Valley,Lily of the Valley,
163,Shadow Rose,Shadow Rose,
164,Furnace,Furnace,
165,Furnace|meta|rot2,Furnace,meta|rot2
166,Furnace|meta|rot3,Furnace,meta|rot3
167,Furnace|meta|rot4,Furnace,meta|rot4
168,Workbench,Workbench,
169,Workbench|meta|rot2,Workbench,meta|rot2
170,Workbench|meta|rot3,Workbench,meta|rot3
171,Workbench|meta|rot4,Workbench,meta|rot4
172,Block of Diamond,Block of Diamond,
173,Maple Door,Maple Door,
174,Maple Door|meta|rot1|open,Maple Door,meta|rot1|open
175,Maple Door|meta|rot2|closed,Maple Door,meta|rot2|closed
176,Maple Door|meta|rot2|open,Maple Door,meta|rot2|open
177,Maple Door|meta|rot3|closed,Maple Door,meta|rot3|closed
178,Maple Door|meta|rot3|open,Maple Door,meta|rot3|open
179,Maple Door|meta|rot4|closed,Maple Door,meta|rot4|closed
180,Maple Door|meta|rot4|open,Maple Door,meta|rot4|open
181,_Maple Door Top,_Maple Door Top,
182,_Maple Door Top|meta|rot1|open,_Maple Door Top,meta|rot1|open
183,_Maple Door Top|meta|rot2|closed,_Maple Door Top,meta|rot2|closed
184,_Maple Door Top|meta|rot2|open,_Maple Door Top,meta|rot2|open
185,_Maple Door Top|meta|rot3|closed,_Maple Door Top,meta|rot3|closed
186,_Maple Door Top|meta|rot3|open,_Maple Door Top,meta|rot3|open
187,_Maple Door Top|meta|rot4|closed,_Maple Door Top,meta|rot4|closed
188,_Maple Door Top|meta|rot4|open,_Maple Door Top,meta|rot4|open
189,Maple Trapdoor,Maple Trapdoor,
190,Maple Trapdoor|meta|rot1|open,Maple Trapdoor,meta|rot1|open
191,Maple Trapdoor|meta|rot2|closed,Maple Trapdoor,meta|rot2|closed
192,Maple Trapdoor|meta|rot2|open,Maple Trapdoor,meta|rot2|open
193,Maple Trapdoor|meta|rot3|closed,Maple Trapdoor,meta|rot3|closed
194,Maple Trapdoor|meta|rot3|open,Maple Trapdoor,meta|rot3|open
195,Maple Trapdoor|meta|rot4|closed,Maple Trapdoor,meta|rot4|closed
196,Maple Trapdoor|meta|rot4|open,Maple Trapdoor,meta|rot4|open
197,Aspen Sapling,Aspen Sapling,
198,Maple Sapling,Maple Sapling,
199,Jungle Sapling,Jungle Sapling,
200,Plum Sapling,Plum Sapling,
201,Pine Sapling,Pine Sapling,
202,Cedar Sapling,Cedar Sapling,
203,Maple Log|TreeBase|Maple,Maple Log,TreeBase|Maple
204,Chest,Chest,
205,Chest|meta|rot2,Chest,meta|rot2
206,Chest|meta|rot3,Chest,meta|rot3
207,Chest|meta|rot4,Chest,meta|rot4
208,Pine Leaves|TreeCanopy,Pine Leaves,TreeCanopy
209,Aspen Leaves|TreeCanopy,Aspen Leaves,TreeCanopy
210,Maple Leaves|TreeCanopy,Maple Leaves,TreeCanopy
211,Jungle Leaves|TreeCanopy,Jungle Leaves,TreeCanopy
212,Protector,Protector,
213,Fat Cactus,Fat Cactus,
214,Dry Fat Cactus,Dry Fat Cactus,
215,Maple Ladder,Maple Ladder,
216,Maple Ladder|meta|rot2,Maple Ladder,meta|rot2
217,Maple Ladder|meta|rot3,Maple Ladder,meta|rot3
218,Maple Ladder|meta|rot4,Maple Ladder,meta|rot4
219,Vines,Vines,
220,Vines|meta|rot2,Vines,meta|rot2
221,Vines|meta|rot3,Vines,meta|rot3
222,Vines|meta|rot4,Vines,meta|rot4
223,Dirt|GrassRoots,Dirt,GrassRoots
224,Iron Ladder,Iron Ladder,
225,Iron Ladder|meta|rot2,Iron Ladder,meta|rot2
226,Iron Ladder|meta|rot3,Iron Ladder,meta|rot3
227,Iron Ladder|meta|rot4,Iron Ladder,meta|rot4
228,White Planks,White Planks,
229,Orange Planks,Orange Planks,
230,Magenta Planks,Magenta Planks,
231,Light Blue Planks,Light Blue Planks,
232,Yellow Planks,Yellow Planks,
233,Lime Planks,Lime Planks,
234,Pink Planks,Pink Planks,
235,Gray Planks,Gray Planks,
236,Light Gray Planks,Light Gray Planks,
237,Cyan Planks,Cyan Planks,
238,Purple Planks,Purple Planks,
239,Blue Planks,Blue Planks,
240,Brown Planks,Brown Planks,
241,Green Planks,Green Planks,
242,Red Planks,Red Planks,
243,Black Planks,Black Planks,
244,Artisan Bench,Artisan Bench,
245,White Ceramic,White Ceramic,
246,White Ceramic|meta|rot2,White Ceramic,meta|rot2
247,White Ceramic|meta|rot3,White Ceramic,meta|rot3
248,White Ceramic|meta|rot4,White Ceramic,meta|rot4
249,Orange Ceramic,Orange Ceramic,
250,Orange Ceramic|meta|rot2,Orange Ceramic,meta|rot2
251,Orange Ceramic|meta|rot3,Orange Ceramic,meta|rot3
252,Orange Ceramic|meta|rot4,Orange Ceramic,meta|rot4
253,Magenta Ceramic,Magenta Ceramic,
254,Magenta Ceramic|meta|rot2,Magenta Ceramic,meta|rot2
255,Magenta Ceramic|meta|rot3,Magenta Ceramic,meta|rot3
256,Magenta Ceramic|meta|rot4,Magenta Ceramic,meta|rot4
257,Light Blue Ceramic,Light Blue Ceramic,
258,Light Blue Ceramic|meta|rot2,Light Blue Ceramic,meta|rot2
259,Light Blue Ceramic|meta|rot3,Light Blue Ceramic,meta|rot3
260,Light Blue Ceramic|meta|rot4,Light Blue Ceramic,meta|rot4
261,Yellow Ceramic,Yellow Ceramic,
262,Yellow Ceramic|meta|rot2,Yellow Ceramic,meta|rot2
263,Yellow Ceramic|meta|rot3,Yellow Ceramic,meta|rot3
264,Yellow Ceramic|meta|rot4,Yellow Ceramic,meta|rot4
265,Lime Ceramic,Lime Ceramic,
266,Lime Ceramic|meta|rot2,Lime Ceramic,meta|rot2
267,Lime Ceramic|meta|rot3,Lime Ceramic,meta|rot3
268,Lime Ceramic|meta|rot4,Lime Ceramic,meta|rot4
269,Pink Ceramic,Pink Ceramic,
270,Pink Ceramic|meta|rot2,Pink Ceramic,meta|rot2
271,Pink Ceramic|meta|rot3,Pink Ceramic,meta|rot3
272,Pink Ceramic|meta|rot4,Pink Ceramic,meta|rot4
273,Gray Ceramic,Gray Ceramic,
274,Gray Ceramic|meta|rot2,Gray Ceramic,meta|rot2
275,Gray Ceramic|meta|rot3,Gray Ceramic,meta|rot3
276,Gray Ceramic|meta|rot4,Gray Ceramic,meta|rot4
277,Light Gray Ceramic,Light Gray Ceramic,
278,Light Gray Ceramic|meta|rot2,Light Gray Ceramic,meta|rot2
279,Light Gray Ceramic|meta|rot3,Light Gray Ceramic,meta|rot3
280,Light Gray Ceramic|meta|rot4,Light Gray Ceramic,meta|rot4
281,Cyan Ceramic,Cyan Ceramic,
282,Cyan Ceramic|meta|rot2,Cyan Ceramic,meta|rot2
283,Cyan Ceramic|meta|rot3,Cyan Ceramic,meta|rot3
284,Cyan Ceramic|meta|rot4,Cyan Ceramic,meta|rot4
285,Purple Ceramic,Purple Ceramic,
286,Purple Ceramic|meta|rot2,Purple Ceramic,meta|rot2
287,Purple Ceramic|meta|rot3,Purple Ceramic,meta|rot3
288,Purple Ceramic|meta|rot4,Purple Ceramic,meta|rot4
289,Blue Ceramic,Blue Ceramic,
290,Blue Ceramic|meta|rot2,Blue Ceramic,meta|rot2
291,Blue Ceramic|meta|rot3,Blue Ceramic,meta|rot3
292,Blue Ceramic|meta|rot4,Blue Ceramic,meta|rot4
293,Brown Ceramic,Brown Ceramic,
294,Brown Ceramic|meta|rot2,Brown Ceramic,meta|rot2
295,Brown Ceramic|meta|rot3,Brown Ceramic,meta|rot3
296,Brown Ceramic|meta|rot4,Brown Ceramic,meta|rot4
297,Green Ceramic,Green Ceramic,
298,Green Ceramic|meta|rot2,Green Ceramic,meta|rot2
299,Green Ceramic|meta|rot3,Green Ceramic,meta|rot3
300,Green Ceramic|meta|rot4,Green Ceramic,meta|rot4
301,Red Ceramic,Red Ceramic,
302,Red Ceramic|meta|rot2,Red Ceramic,meta|rot2
303,Red Ceramic|meta|rot3,Red Ceramic,meta|rot3
304,Red Ceramic|meta|rot4,Red Ceramic,meta|rot4
305,Black Ceramic,Black Ceramic,
306,Black Ceramic|meta|rot2,Black Ceramic,meta|rot2
307,Black Ceramic|meta|rot3,Black Ceramic,meta|rot3
308,Black Ceramic|meta|rot4,Black Ceramic,meta|rot4
309,Wheat Seeds,Wheat Seeds,
310,Wheat_stage1,Wheat_stage1,
311,Wheat_stage2,Wheat_stage2,
312,Wheat_stage3,Wheat_stage3,
313,Wheat_stage4,Wheat_stage4,
314,Wheat_stage5,Wheat_stage5,
315,Wheat,Wheat,
316,Wheat|FreshlyGrown,Wheat,FreshlyGrown
317,Tilled Soil,Tilled Soil,
318,Bread Block,Bread Block,
319,ReservedBread BlockRotation1,ReservedBread BlockRotation1,
320,ReservedBread BlockRotation2,ReservedBread BlockRotation2,
321,ReservedBread BlockRotation3,ReservedBread BlockRotation3,
322,Mossy Messy Stone,Mossy Messy Stone,
323,Dandelion|Roots,Dandelion,Roots
324,Poppy|Roots,Poppy,Roots
325,Red Tulip|Roots,Red Tulip,Roots
326,Pink Tulip|Roots,Pink Tulip,Roots
327,White Tulip|Roots,White Tulip,Roots
328,Orange Tulip|Roots,Orange Tulip,Roots
329,Daisy|Roots,Daisy,Roots
330,Bluebell|Roots,Bluebell,Roots
331,Forget-me-not|Roots,Forget-me-not,Roots
332,Allium|Roots,Allium,Roots
333,Azure Bluet|Roots,Azure Bluet,Roots
334,Lily of the Valley|Roots,Lily of the Valley,Roots
335,Shadow Rose|Roots,Shadow Rose,Roots
336,White Bed,White Bed,
337,White Bed|meta|rot2,White Bed,meta|rot2
338,White Bed|meta|rot3,White Bed,meta|rot3
339,White Bed|meta|rot4,White Bed,meta|rot4
340,_White Bed Head,_White Bed Head,
341,_White Bed Head|meta|rot2,_White Bed Head,meta|rot2
342,_White Bed Head|meta|rot3,_White Bed Head,meta|rot3
343,_White Bed Head|meta|rot4,_White Bed Head,meta|rot4
344,Orange Bed,Orange Bed,
345,Orange Bed|meta|rot2,Orange Bed,meta|rot2
346,Orange Bed|meta|rot3,Orange Bed,meta|rot3
347,Orange Bed|meta|rot4,Orange Bed,meta|rot4
348,_Orange Bed Head,_Orange Bed Head,
349,_Orange Bed Head|meta|rot2,_Orange Bed Head,meta|rot2
350,_Orange Bed Head|meta|rot3,_Orange Bed Head,meta|rot3
351,_Orange Bed Head|meta|rot4,_Orange Bed Head,meta|rot4
352,Magenta Bed,Magenta Bed,
353,Magenta Bed|meta|rot2,Magenta Bed,meta|rot2
354,Magenta Bed|meta|rot3,Magenta Bed,meta|rot3
355,Magenta Bed|meta|rot4,Magenta Bed,meta|rot4
356,_Magenta Bed Head,_Magenta Bed Head,
357,_Magenta Bed Head|meta|rot2,_Magenta Bed Head,meta|rot2
358,_Magenta Bed Head|meta|rot3,_Magenta Bed Head,meta|rot3
359,_Magenta Bed Head|meta|rot4,_Magenta Bed Head,meta|rot4
360,Light Blue Bed,Light Blue Bed,
361,Light Blue Bed|meta|rot2,Light Blue Bed,meta|rot2
362,Light Blue Bed|meta|rot3,Light Blue Bed,meta|rot3
363,Light Blue Bed|meta|rot4,Light Blue Bed,meta|rot4
364,_Light Blue Bed Head,_Light Blue Bed Head,
365,_Light Blue Bed Head|meta|rot2,_Light Blue Bed Head,meta|rot2
366,_Light Blue Bed Head|meta|rot3,_Light Blue Bed Head,meta|rot3
367,_Light Blue Bed Head|meta|rot4,_Light Blue Bed Head,meta|rot4
368,Yellow Bed,Yellow Bed,
369,Yellow Bed|meta|rot2,Yellow Bed,meta|rot2
370,Yellow Bed|meta|rot3,Yellow Bed,meta|rot3
371,Yellow Bed|meta|rot4,Yellow Bed,meta|rot4
372,_Yellow Bed Head,_Yellow Bed Head,
373,_Yellow Bed Head|meta|rot2,_Yellow Bed Head,meta|rot2
374,_Yellow Bed Head|meta|rot3,_Yellow Bed Head,meta|rot3
375,_Yellow Bed Head|meta|rot4,_Yellow Bed Head,meta|rot4
376,Lime Bed,Lime Bed,
377,Lime Bed|meta|rot2,Lime Bed,meta|rot2
378,Lime Bed|meta|rot3,Lime Bed,meta|rot3
379,Lime Bed|meta|rot4,Lime Bed,meta|rot4
380,_Lime Bed Head,_Lime Bed Head,
381,_Lime Bed Head|meta|rot2,_Lime Bed Head,meta|rot2
382,_Lime Bed Head|meta|rot3,_Lime Bed Head,meta|rot3
383,_Lime Bed Head|meta|rot4,_Lime Bed Head,meta|rot4
384,Pink Bed,Pink Bed,
385,Pink Bed|meta|rot2,Pink Bed,meta|rot2
386,Pink Bed|meta|rot3,Pink Bed,meta|rot3
387,Pink Bed|meta|rot4,Pink Bed,meta|rot4
388,_Pink Bed Head,_Pink Bed Head,
389,_Pink Bed Head|meta|rot2,_Pink Bed Head,meta|rot2
390,_Pink Bed Head|meta|rot3,_Pink Bed Head,meta|rot3
391,_Pink Bed Head|meta|rot4,_Pink Bed Head,meta|rot4
392,Gray Bed,Gray Bed,
393,Gray Bed|meta|rot2,Gray Bed,meta|rot2
394,Gray Bed|meta|rot3,Gray Bed,meta|rot3
395,Gray Bed|meta|rot4,Gray Bed,meta|rot4
396,_Gray Bed Head,_Gray Bed Head,
397,_Gray Bed Head|meta|rot2,_Gray Bed Head,meta|rot2
398,_Gray Bed Head|meta|rot3,_Gray Bed Head,meta|rot3
399,_Gray Bed Head|meta|rot4,_Gray Bed Head,meta|rot4
400,Light Gray Bed,Light Gray Bed,
401,Light Gray Bed|meta|rot2,Light Gray Bed,meta|rot2
402,Light Gray Bed|meta|rot3,Light Gray Bed,meta|rot3
403,Light Gray Bed|meta|rot4,Light Gray Bed,meta|rot4
404,_Light Gray Bed Head,_Light Gray Bed Head,
405,_Light Gray Bed Head|meta|rot2,_Light Gray Bed Head,meta|rot2
406,_Light Gray Bed Head|meta|rot3,_Light Gray Bed Head,meta|rot3
407,_Light Gray Bed Head|meta|rot4,_Light Gray Bed Head,meta|rot4
408,Cyan Bed,Cyan Bed,
409,Cyan Bed|meta|rot2,Cyan Bed,meta|rot2
410,Cyan Bed|meta|rot3,Cyan Bed,meta|rot3
411,Cyan Bed|meta|rot4,Cyan Bed,meta|rot4
412,_Cyan Bed Head,_Cyan Bed Head,
413,_Cyan Bed Head|meta|rot2,_Cyan Bed Head,meta|rot2
414,_Cyan Bed Head|meta|rot3,_Cyan Bed Head,meta|rot3
415,_Cyan Bed Head|meta|rot4,_Cyan Bed Head,meta|rot4
416,Purple Bed,Purple Bed,
417,Purple Bed|meta|rot2,Purple Bed,meta|rot2
418,Purple Bed|meta|rot3,Purple Bed,meta|rot3
419,Purple Bed|meta|rot4,Purple Bed,meta|rot4
420,_Purple Bed Head,_Purple Bed Head,
421,_Purple Bed Head|meta|rot2,_Purple Bed Head,meta|rot2
422,_Purple Bed Head|meta|rot3,_Purple Bed Head,meta|rot3
423,_Purple Bed Head|meta|rot4,_Purple Bed Head,meta|rot4
424,Blue Bed,Blue Bed,
425,Blue Bed|meta|rot2,Blue Bed,meta|rot2
426,Blue Bed|meta|rot3,Blue Bed,meta|rot3
427,Blue Bed|meta|rot4,Blue Bed,meta|rot4
428,_Blue Bed Head,_Blue Bed Head,
429,_Blue Bed Head|meta|rot2,_Blue Bed Head,meta|rot2
430,_Blue Bed Head|meta|rot3,_Blue Bed Head,meta|rot3
431,_Blue Bed Head|meta|rot4,_Blue Bed Head,meta|rot4
432,Brown Bed,Brown Bed,
433,Brown Bed|meta|rot2,Brown Bed,meta|rot2
434,Brown Bed|meta|rot3,Brown Bed,meta|rot3
435,Brown Bed|meta|rot4,Brown Bed,meta|rot4
436,_Brown Bed Head,_Brown Bed Head,
437,_Brown Bed Head|meta|rot2,_Brown Bed Head,meta|rot2
438,_Brown Bed Head|meta|rot3,_Brown Bed Head,meta|rot3
439,_Brown Bed Head|meta|rot4,_Brown Bed Head,meta|rot4
440,Green Bed,Green Bed,
441,Green Bed|meta|rot2,Green Bed,meta|rot2
442,Green Bed|meta|rot3,Green Bed,meta|rot3
443,Green Bed|meta|rot4,Green Bed,meta|rot4
444,_Green Bed Head,_Green Bed Head,
445,_Green Bed Head|meta|rot2,_Green Bed Head,meta|rot2
446,_Green Bed Head|meta|rot3,_Green Bed Head,meta|rot3
447,_Green Bed Head|meta|rot4,_Green Bed Head,meta|rot4
448,Red Bed,Red Bed,
449,Red Bed|meta|rot2,Red Bed,meta|rot2
450,Red Bed|meta|rot3,Red Bed,meta|rot3
451,Red Bed|meta|rot4,Red Bed,meta|rot4
452,_Red Bed Head,_Red Bed Head,
453,_Red Bed Head|meta|rot2,_Red Bed Head,meta|rot2
454,_Red Bed Head|meta|rot3,_Red Bed Head,meta|rot3
455,_Red Bed Head|meta|rot4,_Red Bed Head,meta|rot4
456,Black Bed,Black Bed,
457,Black Bed|meta|rot2,Black Bed,meta|rot2
458,Black Bed|meta|rot3,Black Bed,meta|rot3
459,Black Bed|meta|rot4,Black Bed,meta|rot4
460,_Black Bed Head,_Black Bed Head,
461,_Black Bed Head|meta|rot2,_Black Bed Head,meta|rot2
462,_Black Bed Head|meta|rot3,_Black Bed Head,meta|rot3
463,_Black Bed Head|meta|rot4,_Black Bed Head,meta|rot4
464,Apple Block,Apple Block,
465,Moonstone Ore,Moonstone Ore,
466,Moonstone Chest,Moonstone Chest,
467,Moonstone Chest|meta|rot2,Moonstone Chest,meta|rot2
468,Moonstone Chest|meta|rot3,Moonstone Chest,meta|rot3
469,Moonstone Chest|meta|rot4,Moonstone Chest,meta|rot4
470,Block of Moonstone,Block of Moonstone,
471,Magma,Magma,
472,Useless Soil,Useless Soil,
473,Marked Sandstone,Marked Sandstone,
474,Red Sandstone,Red Sandstone,
475,Smooth Red Sandstone,Smooth Red Sandstone,
476,Engraved Red Sandstone,Engraved Red Sandstone,
477,Marked Red Sandstone,Marked Red Sandstone,
478,Green Stone,Green Stone,
479,Green Bricks,Green Bricks,
480,Dark Green Bricks,Dark Green Bricks,
481,Sandstone Bricks,Sandstone Bricks,
482,Engraved Diorite,Engraved Diorite,
483,Diorite Bricks,Diorite Bricks,
484,Engraved Andesite,Engraved Andesite,
485,Andesite Bricks,Andesite Bricks,
486,Engraved Granite,Engraved Granite,
487,Granite Bricks,Granite Bricks,
488,Ice Bricks,Ice Bricks,
489,Placeholder Packed Ice,Placeholder Packed Ice,
490,Placeholder Blue Ice,Placeholder Blue Ice,
491,Plum Leaves,Plum Leaves,
492,Cedar Leaves,Cedar Leaves,
493,Palm Leaves,Palm Leaves,
494,Plum Leaves|TreeCanopy,Plum Leaves,TreeCanopy
495,Cedar Leaves|TreeCanopy,Cedar Leaves,TreeCanopy
496,Palm Leaves|TreeCanopy,Palm Leaves,TreeCanopy
497,Pine Log|TreeBase|Pine,Pine Log,TreeBase|Pine
498,Plum Log|TreeBase|Plum,Plum Log,TreeBase|Plum
499,Cedar Log|TreeBase|Cedar,Cedar Log,TreeBase|Cedar
500,Aspen Log|TreeBase|Aspen,Aspen Log,TreeBase|Aspen
501,Jungle Log|TreeBase|Jungle,Jungle Log,TreeBase|Jungle
502,Palm Log,Palm Log,
503,Palm Log|TreeBase|Palm,Palm Log,TreeBase|Palm
504,Palm Wood Planks,Palm Wood Planks,
505,Palm Sapling,Palm Sapling,
506,Pine Door,Pine Door,
507,Pine Door|meta|rot1|open,Pine Door,meta|rot1|open
508,Pine Door|meta|rot2|closed,Pine Door,meta|rot2|closed
509,Pine Door|meta|rot2|open,Pine Door,meta|rot2|open
510,Pine Door|meta|rot3|closed,Pine Door,meta|rot3|closed
511,Pine Door|meta|rot3|open,Pine Door,meta|rot3|open
512,Pine Door|meta|rot4|closed,Pine Door,meta|rot4|closed
513,Pine Door|meta|rot4|open,Pine Door,meta|rot4|open
514,_Pine Door Top,_Pine Door Top,
515,_Pine Door Top|meta|rot1|open,_Pine Door Top,meta|rot1|open
516,_Pine Door Top|meta|rot2|closed,_Pine Door Top,meta|rot2|closed
517,_Pine Door Top|meta|rot2|open,_Pine Door Top,meta|rot2|open
518,_Pine Door Top|meta|rot3|closed,_Pine Door Top,meta|rot3|closed
519,_Pine Door Top|meta|rot3|open,_Pine Door Top,meta|rot3|open
520,_Pine Door Top|meta|rot4|closed,_Pine Door Top,meta|rot4|closed
521,_Pine Door Top|meta|rot4|open,_Pine Door Top,meta|rot4|open
522,Plum Door,Plum Door,
523,Plum Door|meta|rot1|open,Plum Door,meta|rot1|open
524,Plum Door|meta|rot2|closed,Plum Door,meta|rot2|closed
525,Plum Door|meta|rot2|open,Plum Door,meta|rot2|open
526,Plum Door|meta|rot3|closed,Plum Door,meta|rot3|closed
527,Plum Door|meta|rot3|open,Plum Door,meta|rot3|open
528,Plum Door|meta|rot4|closed,Plum Door,meta|rot4|closed
529,Plum Door|meta|rot4|open,Plum Door,meta|rot4|open
530,_Plum Door Top,_Plum Door Top,
531,_Plum Door Top|meta|rot1|open,_Plum Door Top,meta|rot1|open
532,_Plum Door Top|meta|rot2|closed,_Plum Door Top,meta|rot2|closed
533,_Plum Door Top|meta|rot2|open,_Plum Door Top,meta|rot2|open
534,_Plum Door Top|meta|rot3|closed,_Plum Door Top,meta|rot3|closed
535,_Plum Door Top|meta|rot3|open,_Plum Door Top,meta|rot3|open
536,_Plum Door Top|meta|rot4|closed,_Plum Door Top,meta|rot4|closed
537,_Plum Door Top|meta|rot4|open,_Plum Door Top,meta|rot4|open
538,Cedar Door,Cedar Door,
539,Cedar Door|meta|rot1|open,Cedar Door,meta|rot1|open
540,Cedar Door|meta|rot2|closed,Cedar Door,meta|rot2|closed
541,Cedar Door|meta|rot2|open,Cedar Door,meta|rot2|open
542,Cedar Door|meta|rot3|closed,Cedar Door,meta|rot3|closed
543,Cedar Door|meta|rot3|open,Cedar Door,meta|rot3|open
544,Cedar Door|meta|rot4|closed,Cedar Door,meta|rot4|closed
