id,root_name,asset_type,confidence,tex_top,tex_side,tex_bottom,tex_front,tex_all,model_file,fuzzy_2,fuzzy_3,status,final_top,final_side,final_bottom,final_front,final_all,final_model
33,Smooth Diorite,texture,low,,,,,,,stone_diorite_smooth,slab_stone_diorite_smooth_side,resolved,,,,,stone_diorite_smooth,
34,Andesite,texture,low,,,,,,,andesite_brick,engraved_andesite,resolved,,,,,stone_andesite,
35,Smooth Andesite,texture,low,,,,,,,stone_andesite_smooth,slab_stone_andesite_smooth_side,resolved,,,,,stone_andesite_smooth,
36,Granite,texture,low,,,,,,,engraved_granite,granite_brick,resolved,,,,,stone_granite,
37,Smooth Granite,texture,low,,,,,,,stone_granite_smooth,slab_stone_granite_smooth_side,resolved,,,,,stone_granite_smooth,
38,Sandstone,texture,multi_face,sandstone_top,sandstone_normal,,,,,,,resolved,sandstone_top,sandstone_normal,,,sandstone_normal,
39,Yellowstone,texture,no_match,,,,,,,,,pending,,,,,,
40,Coal Ore,texture,exact,,,,,coal_ore,,,,resolved,coal_ore,coal_ore,coal_ore,,coal_ore,
41,Iron Ore,texture,exact,,,,,iron_ore,,,,resolved,iron_ore,iron_ore,iron_ore,,iron_ore,
42,Gold Ore,texture,exact,,,,,gold_ore,,,,resolved,gold_ore,gold_ore,gold_ore,,gold_ore,
43,Lapis Lazuli Ore,texture,low,,,,,,,lapis_ore,coal_ore,resolved,,,,,,
44,Emerald Ore,texture,exact,,,,,emerald_ore,,,,resolved,emerald_ore,emerald_ore,emerald_ore,,emerald_ore,
45,Diamond Ore,texture,exact,,,,,diamond_ore,,,,resolved,diamond_ore,diamond_ore,diamond_ore,,diamond_ore,
46,Block of Coal,texture,exact,,,,,coal_block,,,,resolved,coal_block,coal_block,coal_block,,coal_block,
47,Block of Iron,texture,exact,,,,,iron_block,,,,resolved,iron_block,iron_block,iron_block,,iron_block,
48,Block of Gold,texture,exact,,,,,gold_block,,,,resolved,gold_block,gold_block,gold_block,,gold_block,
49,Block of Lapis Lazuli,texture,low,,,,,,,lapis_block,Block-19,resolved,,,,,lapis_block,
50,Block of Emerald,texture,exact,,,,,emerald_block,,,,resolved,emerald_block,emerald_block,emerald_block,,emerald_block,
51,White Wool,texture,low,,,,,,,wool_colored_white,banner_white,resolved,,,,,wool_colored_white,
52,Orange Wool,texture,low,,,,,,,wool_colored_orange,banner_orange,resolved,,,,,wool_colored_orange,
53,Magenta Wool,texture,low,,,,,,,wool_colored_magenta,banner_magenta,resolved,,,,,wool_colored_magenta,
54,Light Blue Wool,texture,low,,,,,,,wool_colored_light_blue,banner_light_blue,resolved,,,,,wool_colored_light_blue,
55,Yellow Wool,texture,low,,,,,,,wool_colored_yellow,banner_yellow,resolved,,,,,wool_colored_yellow,
56,Lime Wool,texture,low,,,,,,,wool_colored_lime,banner_lime,resolved,,,,,wool_colored_lime,
57,Pink Wool,texture,low,,,,,,,wool_colored_pink,banner_pink,resolved,,,,,wool_colored_pink,
58,Gray Wool,texture,low,,,,,,,wool_colored_gray,banner_gray,resolved,,,,,wool_colored_gray,
59,Light Gray Wool,texture,low,,,,,,,banner_light_gray,chalk_light_gray,resolved,,,,,wool_colored_light_grey,
60,Cyan Wool,texture,low,,,,,,,wool_colored_cyan,banner_cyan,resolved,,,,,wool_colored_cyan,
61,Purple Wool,texture,low,,,,,,,wool_colored_purple,banner_purple,resolved,,,,,wool_colored_purple,
62,Blue Wool,texture,low,,,,,,,wool_colored_blue,wool_colored_light_blue,resolved,,,,,wool_colored_blue,
63,Brown Wool,texture,low,,,,,,,wool_colored_brown,banner_brown,resolved,,,,,wool_colored_brown,
64,Green Wool,texture,low,,,,,,,wool_colored_green,banner_green,resolved,,,,,wool_colored_green,
65,Red Wool,texture,low,,,,,,,wool_colored_red,banner_red,resolved,,,,,wool_colored_red,
66,Black Wool,texture,low,,,,,,,wool_colored_black,banner_black,resolved,,,,,wool_colored_black,
67,Baked Clay,texture,low,,,,,,,clay,baked_potato,resolved,,,,,hardened_clay,
68,White Baked Clay,texture,low,,,,,,,hardened_clay_stained_white,clay,resolved,,,,,hardened_clay_stained_white,
69,Orange Baked Clay,texture,low,,,,,,,hardened_clay_stained_orange,clay,resolved,,,,,hardened_clay_stained_orange,
70,Magenta Baked Clay,texture,low,,,,,,,hardened_clay_stained_magenta,clay,resolved,,,,,hardened_clay_stained_magenta,
71,Light Blue Baked Clay,texture,low,,,,,,,hardened_clay_stained_light_blue,banner_light_blue,resolved,,,,,hardened_clay_stained_light_blue,
72,Yellow Baked Clay,texture,low,,,,,,,hardened_clay_stained_yellow,clay,resolved,,,,,hardened_clay_stained_yellow,
73,Lime Baked Clay,texture,low,,,,,,,hardened_clay_stained_lime,clay,resolved,,,,,hardened_clay_stained_lime,
74,Pink Baked Clay,texture,low,,,,,,,hardened_clay_stained_pink,clay,resolved,,,,,hardened_clay_stained_pink,
75,Gray Baked Clay,texture,low,,,,,,,hardened_clay_stained_gray,clay,resolved,,,,,hardened_clay_stained_gray,
76,Light Gray Baked Clay,texture,low,,,,,,,banner_light_gray,chalk_light_gray,resolved,,,,,chalk_light_gray,
77,Cyan Baked Clay,texture,low,,,,,,,hardened_clay_stained_cyan,clay,resolved,,,,,hardened_clay_stained_cyan,
78,Purple Baked Clay,texture,low,,,,,,,hardened_clay_stained_purple,clay,resolved,,,,,hardened_clay_stained_purple,
79,Blue Baked Clay,texture,low,,,,,,,hardened_clay_stained_blue,hardened_clay_stained_light_blue,resolved,,,,,hardened_clay_stained_light_blue,
80,Brown Baked Clay,texture,low,,,,,,,hardened_clay_stained_brown,clay,resolved,,,,,hardened_clay_stained_brown,
81,Green Baked Clay,texture,low,,,,,,,hardened_clay_stained_green,clay,resolved,,,,,hardened_clay_stained_green,
82,Red Baked Clay,texture,low,,,,,,,hardened_clay_stained_red,clay,resolved,,,,,hardened_clay_stained_red,
83,Black Baked Clay,texture,low,,,,,,,hardened_clay_stained_black,clay,resolved,,,,,hardened_clay_stained_black,
84,Gray Concrete,texture,exact,,,,,gray_concrete,,,,resolved,gray_concrete,gray_concrete,gray_concrete,,gray_concrete,
85,Light Gray Concrete,texture,exact,,,,,light_gray_concrete,,,,resolved,light_gray_concrete,light_gray_concrete,light_gray_concrete,,light_gray_concrete,
86,Black Concrete,texture,exact,,,,,black_concrete,,,,resolved,black_concrete,black_concrete,black_concrete,,black_concrete,
87,Blue Concrete,texture,exact,,,,,blue_concrete,,,,resolved,blue_concrete,blue_concrete,blue_concrete,,blue_concrete,
88,Brown Concrete,texture,exact,,,,,brown_concrete,,,,resolved,brown_concrete,brown_concrete,brown_concrete,,brown_concrete,
89,Cyan Concrete,texture,exact,,,,,cyan_concrete,,,,resolved,cyan_concrete,cyan_concrete,cyan_concrete,,cyan_concrete,
90,Light Blue Concrete,texture,exact,,,,,light_blue_concrete,,,,resolved,light_blue_concrete,light_blue_concrete,light_blue_concrete,,light_blue_concrete,
91,Lime Concrete,texture,exact,,,,,lime_concrete,,,,resolved,lime_concrete,lime_concrete,lime_concrete,,lime_concrete,
92,Magenta Concrete,texture,exact,,,,,magenta_concrete,,,,resolved,magenta_concrete,magenta_concrete,magenta_concrete,,magenta_concrete,
93,Orange Concrete,texture,exact,,,,,orange_concrete,,,,resolved,orange_concrete,orange_concrete,orange_concrete,,orange_concrete,
94,Pink Concrete,texture,exact,,,,,pink_concrete,,,,resolved,pink_concrete,pink_concrete,pink_concrete,,pink_concrete,
95,Purple Concrete,texture,exact,,,,,purple_concrete,,,,resolved,purple_concrete,purple_concrete,purple_concrete,,purple_concrete,
96,Red Concrete,texture,exact,,,,,red_concrete,,,,resolved,red_concrete,red_concrete,red_concrete,,red_concrete,
97,White Concrete,texture,exact,,,,,white_concrete,,,,resolved,white_concrete,white_concrete,white_concrete,,white_concrete,
98,Green Concrete,texture,exact,,,,,green_concrete,,,,resolved,green_concrete,green_concrete,green_concrete,,green_concrete,
99,Yellow Concrete,texture,exact,,,,,yellow_concrete,,,,resolved,yellow_concrete,yellow_concrete,yellow_concrete,,yellow_concrete,
100,Pine Leaves,texture,exact,,,,,leaves_pine,,,,resolved,leaves_pine,leaves_pine,leaves_pine,,leaves_pine,
101,Aspen Leaves,texture,exact,,,,,leaves_aspen,,,,resolved,leaves_aspen,leaves_aspen,leaves_aspen,,leaves_aspen,
102,Maple Leaves,texture,exact,,,,,leaves_maple,,,,resolved,leaves_maple,leaves_maple,leaves_maple,,leaves_maple,
103,Jungle Leaves,texture,exact,,,,,leaves_jungle,,,,resolved,leaves_jungle,leaves_jungle,leaves_jungle,,leaves_jungle,
104,Pumpkin_placeholder,texture,low,,,,,,,placeholder,carved_pumpkin,resolved,,,,,pumpkin_face_on,
105,Watermelon,texture,multi_face,watermelon_top,watermelon_side,,,,,,,resolved,watermelon_top,watermelon_side,watermelon_side,,,
106,Glass,texture,exact,,,,,glass,,,,resolved,glass,glass,glass,,glass,
107,Black Glass,texture,exact,,,,,glass_black,,,,resolved,glass_black,glass_black,glass_black,,glass_black,
108,Blue Glass,texture,exact,,,,,glass_blue,,,,resolved,glass_blue,glass_blue,glass_blue,,glass_blue,
109,Brown Glass,texture,exact,,,,,glass_brown,,,,resolved,glass_brown,glass_brown,glass_brown,,glass_brown,
110,Cyan Glass,texture,exact,,,,,glass_cyan,,,,resolved,glass_cyan,glass_cyan,glass_cyan,,glass_cyan,
111,Gray Glass,texture,exact,,,,,glass_gray,,,,resolved,glass_gray,glass_gray,glass_gray,,glass_gray,
112,Light Gray Glass,texture,exact,,,,,glass_light_gray,,,,resolved,glass_light_gray,glass_light_gray,glass_light_gray,,glass_light_gray,
113,Green Glass,texture,exact,,,,,glass_green,,,,resolved,glass_green,glass_green,glass_green,,glass_green,
114,Light Blue Glass,texture,exact,,,,,glass_light_blue,,,,resolved,glass_light_blue,glass_light_blue,glass_light_blue,,glass_light_blue,
115,Lime Glass,texture,exact,,,,,glass_lime,,,,resolved,glass_lime,glass_lime,glass_lime,,glass_lime,
116,Magenta Glass,texture,exact,,,,,glass_magenta,,,,resolved,glass_magenta,glass_magenta,glass_magenta,,glass_magenta,
117,Orange Glass,texture,exact,,,,,glass_orange,,,,resolved,glass_orange,glass_orange,glass_orange,,glass_orange,
118,Pink Glass,texture,exact,,,,,glass_pink,,,,resolved,glass_pink,glass_pink,glass_pink,,glass_pink,
119,Purple Glass,texture,exact,,,,,glass_purple,,,,resolved,glass_purple,glass_purple,glass_purple,,glass_purple,
120,Red Glass,texture,exact,,,,,glass_red,,,,resolved,glass_red,glass_red,glass_red,,glass_red,
121,White Glass,texture,exact,,,,,glass_white,,,,resolved,glass_white,glass_white,glass_white,,glass_white,
122,Yellow Glass,texture,exact,,,,,glass_yellow,,,,resolved,glass_yellow,glass_yellow,glass_yellow,,glass_yellow,
123,UNUSED BLOCK TYPE,texture,low,,,,,,,Block-19,checkpoint_block,resolved,,,Block-19,,glass_silver,
124,Dim Lamp On,texture,low,,,,,,,redstone_lamp_on,pumpkin_face_on,resolved,,,,,redstone_lamp_on,
125,Dim Lamp Off,texture,low,,,,,,,redstone_lamp_off,redstone_lamp_on,resolved,,,,,redstone_lamp_off,
126,Water,texture,exact,,,,,water,,,,resolved,water,water,water,,water,
127,Invisible Solid,texture,exact,,,,,invisible_solid,,,,resolved,invisible_solid,invisible_solid,invisible_solid,,invisible_solid,
128,Bricks,texture,low,,,,,,,green_bricks,chalk_bricks_black,resolved,,,,,brick,
129,Stone Bricks,texture,low,,,,,,,stone,end_stone,resolved,,,,,stonebrick,
130,Dark Red Brick,texture,low,,,,,,,red_sandstone_brick,slab_red_sandstone_brick_side,resolved,,,,,nether_brick,
131,Dark Red Stone,texture,low,,,,,,,stone,banner_red,resolved,,,,,netherrack,
132,Block of Quartz,texture,multi_face,,quartz_block_side,,,,,,,resolved,,quartz_block_side,,,quartz_block_side,
133,Chiseled Block of Quartz,texture,low,,,,,,,quartz_block_chiseled,quartz_block_side,resolved,,,,,quartz_block_chiseled,
134,Engraved Stone,texture,low,,,,,,,stone,end_stone,resolved,,,,,stonebrick_carved,
135,Mossy Stone Bricks,texture,low,,,,,,,stone,cobblestone_mossy,resolved,,,,,stonebrick_mossy,
136,Cracked Stone Bricks,texture,low,,,,,,,stone,cracked_coconut,resolved,,,,,stonebrick_cracked,
137,Smooth Sandstone,texture,low,,,,,,,chiseled_sandstone,cut_sandstone,resolved,,,,,sandstone_top,
138,Engraved Sandstone,texture,low,,,,,,,chiseled_sandstone,cut_sandstone,resolved,,,,,chiseled_sandstone,
139,Ice,texture,exact,,,,,ice,,,,resolved,ice,ice,ice,,ice,
140,Obsidian,texture,exact,,,,,obsidian,,,,resolved,obsidian,obsidian,obsidian,,obsidian,
141,Hay Bale,texture,low,,,,,,,hay_block_side,hay_block_top,resolved,,,,,hay_block_side,
142,Sponge,texture,exact,,,,,sponge,,,,resolved,sponge,sponge,sponge,,sponge,
143,Beacon,texture,exact,,,,,beacon,,,,resolved,beacon,beacon,beacon,,beacon,
144,temp,texture,no_match,,,,,,,,,pending,,,,,,
145,Golden Decoration,texture,low,,,,,,,golden_axe,golden_boots,resolved,,,,,glowstone,
146,Moonstone Explosive,texture,multi_face,moonstone_explosive_top,moonstone_explosive_side,,,,,,,resolved,moonstone_explosive_top,moonstone_explosive_side,moonstone_explosive_top,,,
147,Bedrock,texture,exact,,,,,bedrock,,,,resolved,bedrock,bedrock,bedrock,,bedrock,
148,Smooth Double Stone Slab,texture,low,,,,,,,slab_smooth_stone_side,slab_stone_andesite_smooth_side,resolved,smooth_stone,,,,smooth_stone,
149,Cactus,3d_model,high (exact),,,,,,Cactus,,,resolved,,,,,,Cactus
150,Grass,3d_model,high (exact),,,,,,Grass,,,resolved,,,,,,Grass
151,Dandelion,3d_model,high (exact),,,,,,Dandelion,,,resolved,,,,,,Dandelion
152,Poppy,3d_model,high (exact),,,,,,Poppy,,,resolved,,,,,,Poppy
153,Red Tulip,3d_model,high (exact),,,,,,Red Tulip,,,resolved,,,,,,Red Tulip
154,Pink Tulip,3d_model,high (exact),,,,,,Pink Tulip,,,resolved,,,,,,Pink Tulip
155,White Tulip,3d_model,high (exact),,,,,,White Tulip,,,resolved,,,,,,White Tulip
156,Orange Tulip,3d_model,high (exact),,,,,,Orange Tulip,,,resolved,,,,,,Orange Tulip
157,Daisy,3d_model,high (exact),,,,,,Daisy,,,resolved,,,,,,Daisy
158,Bluebell,3d_model,high (exact),,,,,,Bluebell,,,resolved,,,,,,Bluebell
159,Forget-me-not,3d_model,high (exact),,,,,,Forget-me-not,,,resolved,,,,,,Forget-me-not
160,Allium,3d_model,high (exact),,,,,,Allium,,,resolved,,,,,,Allium
161,Azure Bluet,3d_model,high (exact),,,,,,Azure Bluet,,,resolved,,,,,,Azure Bluet
162,Lily of the Valley,3d_model,high (exact),,,,,,Lily of the Valley,,,resolved,,,,,,Lily of the Valley
163,Shadow Rose,3d_model,high (exact),,,,,,Shadow Rose,,,resolved,,,,,,Shadow Rose
164,Furnace,texture,multi_face,furnace_top,furnace_side,,furnace_front,,,,,resolved,furnace_top,furnace_side,furnace_top,furnace_front,,
168,Workbench,texture,no_match,,,,,,,,,pending,,,,,,
172,Block of Diamond,texture,exact,,,,,diamond_block,,,,resolved,diamond_block,diamond_block,diamond_block,,diamond_block,
173,Maple Door,3d_model,high (exact),,,,,,Maple Door,,,special,,,,,,
181,_Maple Door Top,3d_model,high (exact),,,,,,_Maple Door Top,,,special,,,,,,
189,Maple Trapdoor,3d_model,high (exact),,,,,,Maple Trapdoor,,,resolved,,,,,,Maple Trapdoor
197,Aspen Sapling,3d_model,high (exact),,,,,,Aspen Sapling,,,resolved,,,,,,Aspen Sapling
198,Maple Sapling,3d_model,high (exact),,,,,,Maple Sapling,,,resolved,,,,,,Maple Sapling
199,Jungle Sapling,3d_model,high (exact),,,,,,Jungle Sapling,,,resolved,,,,,,Jungle Sapling
200,Plum Sapling,3d_model,high (exact),,,,,,Plum Sapling,,,resolved,,,,,,Plum Sapling
201,Pine Sapling,3d_model,high (exact),,,,,,Pine Sapling,,,resolved,,,,,,Pine Sapling
202,Cedar Sapling,3d_model,high (exact),,,,,,Cedar Sapling,,,resolved,,,,,,Cedar Sapling
204,Chest,texture,multi_face,chest_top,chest_side,,chest_front,,,,,resolved,chest_top_2,chest_side,chest_top_1,chest_front,,
212,Protector,texture,exact,,,,,protector,,,,resolved,protector,protector,protector,,protector,
213,Fat Cactus,texture,low,,,,,,,cactus_dry,cactus_side,resolved,cactus_top,cactus_side,cactus_top,cactus_side,,
214,Dry Fat Cactus,texture,low,,,,,,,cactus_dry,cactus_side,resolved,,,cactus_dry,,cactus_dry,
215,Maple Ladder,3d_model,high (exact),,,,,,Maple Ladder,,,resolved,,,,,,Maple Ladder
219,Vines,3d_model,high (exact),,,,,,Vines,,,resolved,,,,,,Vines
224,Iron Ladder,3d_model,high (exact),,,,,,Iron Ladder,,,resolved,,,,,,Iron Ladder
228,White Planks,texture,exact,,,,,white_planks,,,,resolved,white_planks,white_planks,white_planks,,white_planks,
229,Orange Planks,texture,exact,,,,,orange_planks,,,,resolved,orange_planks,orange_planks,orange_planks,,orange_planks,
230,Magenta Planks,texture,exact,,,,,magenta_planks,,,,resolved,magenta_planks,magenta_planks,magenta_planks,,magenta_planks,
231,Light Blue Planks,texture,exact,,,,,light_blue_planks,,,,resolved,light_blue_planks,light_blue_planks,light_blue_planks,,light_blue_planks,
232,Yellow Planks,texture,exact,,,,,yellow_planks,,,,resolved,yellow_planks,yellow_planks,yellow_planks,,yellow_planks,
233,Lime Planks,texture,exact,,,,,lime_planks,,,,resolved,lime_planks,lime_planks,lime_planks,,lime_planks,
234,Pink Planks,texture,exact,,,,,pink_planks,,,,resolved,pink_planks,pink_planks,pink_planks,,pink_planks,
235,Gray Planks,texture,exact,,,,,gray_planks,,,,resolved,gray_planks,gray_planks,gray_planks,,gray_planks,
236,Light Gray Planks,texture,exact,,,,,light_gray_planks,,,,resolved,light_gray_planks,light_gray_planks,light_gray_planks,,light_gray_planks,
237,Cyan Planks,texture,exact,,,,,cyan_planks,,,,resolved,cyan_planks,cyan_planks,cyan_planks,,cyan_planks,
238,Purple Planks,texture,exact,,,,,purple_planks,,,,resolved,purple_planks,purple_planks,purple_planks,,purple_planks,
239,Blue Planks,texture,exact,,,,,blue_planks,,,,resolved,blue_planks,blue_planks,blue_planks,,blue_planks,
240,Brown Planks,texture,exact,,,,,brown_planks,,,,resolved,brown_planks,brown_planks,brown_planks,,brown_planks,
241,Green Planks,texture,exact,,,,,green_planks,,,,resolved,green_planks,green_planks,green_planks,,green_planks,
242,Red Planks,texture,exact,,,,,red_planks,,,,resolved,red_planks,red_planks,red_planks,,red_planks,
243,Black Planks,texture,exact,,,,,black_planks,,,,resolved,black_planks,black_planks,black_planks,,black_planks,
244,Artisan Bench,texture,low,,,,,,,artisan_axe,artisan_shears,resolved,artisan_table_top,artisan_table_side,artisan_table_top,,,
245,White Ceramic,texture,low,,,,,,,banner_white,chalk_white,resolved,,,white_glazed_terracotta,,white_glazed_terracotta,
249,Orange Ceramic,texture,low,,,,,,,banner_orange,chalk_orange,resolved,,,,,orange_glazed_terracotta,
253,Magenta Ceramic,texture,low,,,,,,,banner_magenta,chalk_magenta,resolved,,,,,magenta_glazed_terracotta,
257,Light Blue Ceramic,texture,low,,,,,,,banner_light_blue,chalk_light_blue,resolved,,,,,light_blue_glazed_terracotta,
261,Yellow Ceramic,texture,low,,,,,,,banner_yellow,chalk_yellow,resolved,,,,,yellow_glazed_terracotta,
265,Lime Ceramic,texture,low,,,,,,,banner_lime,chalk_lime,resolved,,,,,lime_glazed_terracotta,
269,Pink Ceramic,texture,low,,,,,,,banner_pink,chalk_pink,resolved,,,,,pink_glazed_terracotta,
273,Gray Ceramic,texture,low,,,,,,,banner_gray,chalk_gray,resolved,,,,,gray_glazed_terracotta,
277,Light Gray Ceramic,texture,low,,,,,,,banner_light_gray,chalk_light_gray,resolved,,,,,light_gray_glazed_terracotta,
281,Cyan Ceramic,texture,low,,,,,,,banner_cyan,chalk_cyan,resolved,,,,,cyan_glazed_terracotta,
285,Purple Ceramic,texture,low,,,,,,,banner_purple,chalk_purple,resolved,,,,,purple_glazed_terracotta,
289,Blue Ceramic,texture,low,,,,,,,banner_blue,blue_balloon,resolved,,,,,light_blue_glazed_terracotta,
293,Brown Ceramic,texture,low,,,,,,,banner_brown,brown_balloon,resolved,,,,,brown_glazed_terracotta,
297,Green Ceramic,texture,low,,,,,,,banner_green,chalk_green,resolved,,,,,green_glazed_terracotta,
301,Red Ceramic,texture,low,,,,,,,banner_red,chalk_red,resolved,,,,,red_glazed_terracotta,
305,Black Ceramic,texture,low,,,,,,,banner_black,black_balloon,resolved,,,,,black_glazed_terracotta,
309,Wheat Seeds,3d_model,high (exact),,,,,,Wheat Seeds,,,resolved,,,,,,Wheat Seeds
310,Wheat_stage1,texture,exact,,,,,wheat_stage1,,,,resolved,invisible_solid,wheat_stage1,invisible_solid,,,
311,Wheat_stage2,texture,exact,,,,,wheat_stage2,,,,resolved,wheat_stage2,wheat_stage2,wheat_stage2,,wheat_stage2,
312,Wheat_stage3,texture,exact,,,,,wheat_stage3,,,,resolved,invisible_solid,wheat_stage3,invisible_solid,,,
313,Wheat_stage4,texture,exact,,,,,wheat_stage4,,,,resolved,invisible_solid,wheat_stage4,invisible_solid,,,
314,Wheat_stage5,texture,exact,,,,,wheat_stage5,,,,resolved,invisible_solid,wheat_stage5,invisible_solid,,,
315,Wheat,3d_model,high (exact),,,,,,Wheat,,,resolved,,,,,,Wheat
317,Tilled Soil,texture,low,,,,,,,fertilised_soil,,resolved,farmland,,,,farmland,
318,Bread Block,texture,multi_face,bread_block_top,bread_block_side,,bread_block_front,,,,,resolved,bread_block_top,bread_block_side,bread_block_side,bread_block_back,,
319,ReservedBread BlockRotation1,texture,no_match,,,,,,,,,pending,,,,,,
320,ReservedBread BlockRotation2,texture,no_match,,,,,,,,,pending,,,,,,
321,ReservedBread BlockRotation3,texture,no_match,,,,,,,,,pending,,,,,,
322,Mossy Messy Stone,texture,low,,,,,,,messy_stone,carved_messy_stone,resolved,,,,cobblestone_mossy,cobblestone_mossy,
336,White Bed,3d_model,high (exact),,,,,,White Bed,,,special,,,,,,
340,_White Bed Head,3d_model,high (exact),,,,,,_White Bed Head,,,special,,,,,,
344,Orange Bed,3d_model,high (exact),,,,,,Orange Bed,,,resolved,,,,,,Orange Bed
348,_Orange Bed Head,3d_model,high (exact),,,,,,_Orange Bed Head,,,resolved,,,,,,_Orange Bed Head
352,Magenta Bed,3d_model,high (exact),,,,,,Magenta Bed,,,resolved,,,,,,Magenta Bed
356,_Magenta Bed Head,3d_model,high (exact),,,,,,_Magenta Bed Head,,,resolved,,,,,,_Magenta Bed Head
360,Light Blue Bed,3d_model,high (exact),,,,,,Light Blue Bed,,,resolved,,,,,,Light Blue Bed
364,_Light Blue Bed Head,3d_model,high (exact),,,,,,_Light Blue Bed Head,,,resolved,,,,,,_Light Blue Bed Head
368,Yellow Bed,3d_model,high (exact),,,,,,Yellow Bed,,,resolved,,,,,,Yellow Bed
372,_Yellow Bed Head,3d_model,high (exact),,,,,,_Yellow Bed Head,,,resolved,,,,,,_Yellow Bed Head
376,Lime Bed,3d_model,high (exact),,,,,,Lime Bed,,,resolved,,,,,,Lime Bed
380,_Lime Bed Head,3d_model,high (exact),,,,,,_Lime Bed Head,,,resolved,,,,,,_Lime Bed Head
384,Pink Bed,3d_model,high (exact),,,,,,Pink Bed,,,resolved,,,,,,Pink Bed
388,_Pink Bed Head,3d_model,high (exact),,,,,,_Pink Bed Head,,,resolved,,,,,,_Pink Bed Head
392,Gray Bed,3d_model,high (exact),,,,,,Gray Bed,,,resolved,,,,,,Gray Bed
396,_Gray Bed Head,3d_model,high (exact),,,,,,_Gray Bed Head,,,resolved,,,,,,_Gray Bed Head
400,Light Gray Bed,3d_model,high (exact),,,,,,Light Gray Bed,,,resolved,,,,,,Light Gray Bed
404,_Light Gray Bed Head,3d_model,high (exact),,,,,,_Light Gray Bed Head,,,resolved,,,,,,_Light Gray Bed Head
408,Cyan Bed,3d_model,high (exact),,,,,,Cyan Bed,,,resolved,,,,,,Cyan Bed
412,_Cyan Bed Head,3d_model,high (exact),,,,,,_Cyan Bed Head,,,resolved,,,,,,_Cyan Bed Head
